"","id","X","Y","Z","Spit","Level","Code","Sitio","Area","Lot","Materia","Classe","Fragmentacao_Artefacto","Cortex","Peso","Espessura","Largura","Comprimento","Alteracao","Fogo","N_Esquirolas","Tipo_Retocado","Notas"
"1","H18-2290",119.165000915527,126.914001464844,24.2740001678467,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",3,6.22,21.64,22.74,"Nenhuma",NA,NA,NA,NA
"2","H18-2292",119.111999511719,126.861000061035,24.2369995117188,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Produto retocado",NA,"0%",0,2.03,4.47,16.93,"Nenhuma",NA,NA,"Lamela dorso",NA
"3","H18-2294",119.189002990723,126.669998168945,24.2779998779297,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Fragmento",NA,NA,2,0,0,0,"Nenhuma",NA,NA,NA,NA
"4","H18-2298",119.01000213623,126.781997680664,24.2409992218018,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",4,6.26,17.66,25.96,"Nenhuma",NA,NA,NA,NA
"5","H18-2299",119.092002868652,126.570999145508,24.2490005493164,"1","4E","LITHIC","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,4,0,0,0,"Nenhuma",NA,NA,NA,NA
"6","H18-2307",119.035003662109,126.467002868652,24.246000289917,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",2,4.54,12.17,18.98,"Nenhuma",NA,NA,NA,NA
"7","H18-2308",119.120002746582,126.361999511719,24.2719993591309,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",1,6.21,14.99,18.22,"Nenhuma",NA,NA,NA,NA
"8","H18-2309",119.190002441406,126.725997924805,24.2399997711182,"1","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,2.7,0,0,0,"Nenhuma",NA,NA,NA,NA
"9","H18-2309",119.190002441406,126.725997924805,24.2399997711182,"1","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,1.6,0,0,0,"Nenhuma",NA,NA,NA,NA
"10","H18-2309",119.190002441406,126.725997924805,24.2399997711182,"1","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Fragmento",NA,NA,1.2,0,0,0,"Nenhuma",NA,NA,NA,NA
"11","H18-2309",119.190002441406,126.725997924805,24.2399997711182,"1","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,17,NA,NA
"12","H18-2309",119.190002441406,126.725997924805,24.2399997711182,"1","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,23,NA,NA
"13","H18-2313",119.221000671387,126.736000061035,24.2490005493164,"1","4E","LITHIC","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,3,0,0,0,"Nenhuma",NA,NA,NA,NA
"14","H18-2315",119.556999206543,126.792999267578,24.2649993896484,"1","4E","LITHIC","VB",TRUE,"LOT-98","Grauvaque","Lasca",NA,"0%",19,16.13,39.21,32.57,"Nenhuma",NA,NA,NA,NA
