"","id","X","Y","Z","Spit","Level","Code"
"1","FOTO-339",118.449996948242,127.00700378418,24.9400005340576,"8","3","LITHIC"
"2","H18-2",119.266998291016,126.703002929688,25.5510005950928,"1","2","LITHIC"
"3","H18-4",119.016998291016,126.300003051758,25.5370006561279,"1","2","LITHIC"
"4","H18-7",119.213996887207,126.044998168945,25.6490001678467,"1","2","LITHIC"
"5","H18-8",119.296997070312,126.458999633789,25.5650005340576,"1","2","LITHIC"
"6","H18-9",119.412002563477,126.146003723145,25.5890007019043,"1","2","LITHIC"
"7","H18-10",119.148002624512,126.050003051758,25.5799999237061,"1","2","LITHIC"
"8","H18-11",119.324996948242,126.664001464844,25.5510005950928,"1","2","LITHIC"
"9","H18-15",119.875999450684,126.02799987793,25.6219997406006,"1","2","LITHIC"
"10","H18-17",119.855003356934,126.369003295898,25.576000213623,"1","2","LITHIC"
"11","H18-21",119.073997497559,126.138000488281,25.5359992980957,"2","2","LITHIC"
"12","H18-22",119.044998168945,126.299003601074,25.4540004730225,"3","2","LITHIC"
"13","H18-24",119.15299987793,126.31600189209,25.5100002288818,"2","2","LITHIC"
"14","H18-25",119.236000061035,126.106002807617,25.5400009155273,"2","2","LITHIC"
"15","H18-26",119.147003173828,126.519996643066,25.5020008087158,"2","2","LITHIC"
"16","H18-27",119.296997070312,126.236999511719,25.5149993896484,"2","2","LITHIC"
"17","H18-28",119.144996643066,126.53800201416,25.4979991912842,"2","2","LITHIC"
"18","H18-31",119.444999694824,126.150001525879,25.5090007781982,"2","2","LITHIC"
"19","H18-32",119.302001953125,126.386001586914,25.5109996795654,"2","2","LITHIC"
"20","H18-33",119.52799987793,126.315002441406,25.5370006561279,"2","2","LITHIC"
"21","H18-34",119.626998901367,126.362998962402,25.5259990692139,"2","2","LITHIC"
"22","H18-35",119.709999084473,126.459999084473,25.5480003356934,"2","2","LITHIC"
"23","H18-36",119.824996948242,126.396003723145,25.57200050354,"2","2","LITHIC"
"24","H18-37",119.90599822998,126.194000244141,25.5400009155273,"2","2","LITHIC"
"25","H18-38",119.942001342773,126.164001464844,25.5440006256104,"2","2","LITHIC"
"26","H18-39",119.791000366211,126.052001953125,25.5359992980957,"2","2","LITHIC"
"27","H18-42",119.857002258301,126.457000732422,25.5380001068115,"2","2","LITHIC"
"28","H18-44",119.186996459961,126.144996643066,25.4580001831055,"3","2","LITHIC"
"29","H18-46",119.227996826172,126.035003662109,25.4979991912842,"3","2","LITHIC"
"30","H18-47",119.297996520996,126.694000244141,25.4479999542236,"3","2","LITHIC"
"31","H18-48",119.170997619629,126.752998352051,25.4489994049072,"3","2","LITHIC"
"32","H18-49",119.125,126.753997802734,25.4400005340576,"3","2","LITHIC"
"33","H18-51",119.222999572754,126.851997375488,25.4689998626709,"3","2","LITHIC"
"34","H18-52",119.251998901367,126.953002929688,25.4699993133545,"3","2","LITHIC"
"35","H18-53",119.33699798584,126.88200378418,25.4950008392334,"3","2","LITHIC"
"36","H18-54",119.388999938965,126.347999572754,25.4659996032715,"3","2","LITHIC"
"37","H18-55",119.346000671387,126.424003601074,25.4409999847412,"3","2","LITHIC"
"38","H18-56",119.386001586914,126.551002502441,25.4549999237061,"3","2","LITHIC"
"39","H18-57",119.323997497559,126.513000488281,25.4599990844727,"3","2","LITHIC"
"40","H18-58",119.49299621582,126.271003723145,25.4610004425049,"3","2","LITHIC"
"41","H18-59",119.466003417969,126.046997070312,25.5009994506836,"3","2","LITHIC"
"42","H18-60",119.56600189209,126.398002624512,25.4930000305176,"3","2","LITHIC"
"43","H18-61",119.611999511719,126.320999145508,25.5049991607666,"3","2","LITHIC"
"44","H18-63",119.55899810791,126.556999206543,25.4759998321533,"3","2","LITHIC"
"45","H18-64",119.592002868652,126.491996765137,25.5149993896484,"3","2","LITHIC"
"46","H18-65",119.361000061035,126.047996520996,25.4759998321533,"3","2","LITHIC"
"47","H18-66",119.546997070312,126.593002319336,25.4529991149902,"3","2","LITHIC"
